text,favorite_count,retweet_count,created_at,lang,user.screen_name,user.name,user.time_zone,user.followers_count,user.statuses_count,_id
Had a great visit today with Emma Didlake - our oldest living veteran at 110-years-young! She's a true American hero. http://t.co/EeeIC3AK4A,17644,5886,Fri Jul 17 20:54:55 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,622147491862028289
Just got this new blue marble photo from @NASA. A beautiful reminder that we need to protect the only planet we have. http://t.co/JQ3174P0LF,34466,21720,Mon Jul 20 14:27:08 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,623137065341952000
RT @TheIranDeal: The historic #IranDeal succeeds in verifying that Iran cannot obtain a nuclear weapon. Follow to get the facts: http://t.c…,0,1312,Tue Jul 21 14:40:25 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,623502798366351360
"E.L. Doctorow was one of America's greatest novelists. His books taught me much, and he will be missed.",4244,1854,Wed Jul 22 01:13:00 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,623661992952377344
"Proud to be the first American President to visit Kenya. Happy to see family, and to talk with young Kenyans about the future.",32770,19525,Fri Jul 24 21:25:42 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,624691954224365568
"25 years of the ADA and Americans with disabilities are breaking more barriers than ever, making all of us more free. Let's keep going.",6798,3077,Sun Jul 26 21:05:59 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,625411767414444032
"Happy 50th birthday, Medicare and Medicaid! Two programs, one promise: that every American deserves a basic measure of dignity and security.",8505,3494,Thu Jul 30 16:39:56 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,626794365869010945
"Launching a pilot program to help students in prison pay for college, because everyone willing to work for it deserves a second chance.",20211,8660,Fri Jul 31 20:15:39 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,627211041466941441
"Hey @StationCDRKelly, loving the photos. Do you ever look out the window and just freak out?",11163,3930,Sat Aug 01 19:25:04 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,627560699347255297
"Today, we're announcing America's Clean Power Plan—the most important step we've ever taken to combat climate change. Here are the facts:",12776,5799,Mon Aug 03 19:06:08 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,628280710017720321
"Levels of carbon dioxide in our atmosphere are higher than they’ve been in 800,000 years. 2014 was the planet’s warmest year on record.",4930,4312,Mon Aug 03 19:06:54 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,628280902817304578
"Right now, power plants account for about one-third of America’s carbon pollution. That’s more than our cars, airplanes, and homes combined.",3716,2678,Mon Aug 03 19:11:58 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,628282174869999616
"It's time to change that. With the Clean Power Plan, by 2030, carbon pollution from power plants will be 32% lower than it was a decade ago.",5067,3233,Mon Aug 03 19:15:25 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,628283044772868097
